Zipcode,ID,TotalPop_Estimate,Male_Estimate,Male_Percent,Female_Estimate,Female_Percent,Male_SexRatio_Estimate,Under5_Estimate,Under5_Percent,5to9_Estimate,5to9_Percent,10to14_Estimate,10to14_Percent,15to19_Estimate,15to19_Percent,20to24_Estimate,20to24_Percent,25to34_Estimate,25to34_Percent,35to44_Estimate,35to44_Percent,45to54_Estimate,45to54_Percent,55to59_Estimate,55to59_Percent,60to64_Estimate,60to64_Percent,65to74_Estimate,65to74_Percent,75to84_Estimate,75to84_Percent,85andOver_Estimate,85andOver_Percent,MedianAge_Estimate,Under18_Estimate,Under18_Percent,16andOver_Estimate,16andOver_Percent,18andOver_Estimate,18andOver_Percent,21andOver_Estimate,21andOver_Percent,62andOver_Estimate,62andOver_Percent,65andOver_Estimate,65andOver_Percent,Male_18andOver_Estimate,Male_18andOver_Percent,Female_18andOver_Estimate,Female_18andOver_Percent,Male_18andOver_SexRatio_Estimate,Male_65andOver_Estimate,Male_65andOver_Percent,Female_65andOver_Estimate,Female_65andOver_Percent,Male_65andOver_SexRatio_Estimate,OneRace_Estimate,OneRace_Percent,TwoRace_Estimate,TwoRace_Percent,OneRace_White_Estimate,OneRace_White_Percent,OneRace_BlackAA_Estimate,OneRace_BlackAA_Percent,OneRace_AIAN_Estimate,OneRace_AIAN_Percent,OneRace_AIAN_Cherokee_Estimate,OneRace_AIAN_Cherokee_Percent,OneRace_AIAN_Chippewa_Estimate,OneRace_AIAN_Chippewa_Percent,OneRace_AIAN_Navajo_Estimate,OneRace_AIAN_Navajo_Percent,OneRace_AIAN_Sioux_Estimate,OneRace_AIAN_Sioux_Percent,OneRace_Asian_Estimate,OneRace_Asian_Percent,OneRace_Asian_AsianIndian_Estimate,OneRace_Asian_AsianIndian_Percent,OneRace_Asian_Chinese_Estimate,OneRace_Asian_Chinese_Percent,OneRace_Asian_Filipino_Estimate,OneRace_Asian_Filipino_Percent,OneRace_Asian_Japanese_Estimate,OneRace_Asian_Japanese_Percent,OneRace_Asian_Korean_Estimate,OneRace_Asian_Korean_Percent,OneRace_Asian_Vietnamese_Estimate,OneRace_Asian_Vietnamese_Percent,OneRace_Asian_Other_Estimate,OneRace_Asian_Other_Percent,OneRace_NHOPI_Estimate,OneRace_NHOPI_Percent,OneRace_NHOPIN_Islander_Estimate,OneRace_NHOPIN__Percent,OneRace_NHOPIG_Guamanian_Estimate,OneRace_NHOPIG_Guamanian_Percent,OneRace_NHOPI_Pacific_Estimate,OneRace_NHOPI_Pacific_Percent,OneRace_NHOPIOP_Other_Estimate,OneRace_NHOPIOP_Other_Percent,OneRace_SomeOtherRace_Estimate,OneRace_SomeOtherRace_Percent,TwoRace_White_BlackAA_Estimate,TwoRace_White_BlackAA_Percent,TwoRace_White_AIAN_Estimate,TwoRace_White_AIAN_Percent,TwoRace_White_Asian_Estimate,TwoRace_White_Asian_Percent,TwoRace_BlackAA_AIAN_Estimate,TwoRace_BlackAA_AIAN_Percent,AloneComboRace_Estimate,AloneComboRace_Estimate,AloneComboRace_White_Estimate,AloneComboRace_White_Percent,AloneComboRace_BlackAA_Estimate,AloneComboRace_BlackAA_Percent,AloneComboRace_AIAN_Estimate,AloneComboRace_AIAN_Percent,AloneComboRace_Asian_Estimate,AloneComboRace_Asian_Percent,AloneComboRace_NHOPI_Estimate,AloneComboRace_NHOPI_Percent,AloneComboRace_Other_Estimate,AloneComboRace_Other_Percent,HispanicLatino_Estimate,HispanicLatino_AnyRace_Estimate,HispanicLatino_AnyRace_Percent,HispanicLatino_Mexican_AnyRace_Estimate,HispanicLatino_Mexican_AnyRace_Percent,HispanicLatino_PuertoRican_AnyRace_Estimate,HispanicLatino_PuertoRican_AnyRace_Percent,HispanicLatino_Cuban_AnyRace_Estimate,HispanicLatino_Cuban_AnyRace_Percent,HispanicLatino_Other_AnyRace_Estimate,HispanicLatino_Other_AnyRace_Percent,NotHispanicLatino_Estimate,NotHispanicLatino_Percent,NotHispanicLatino_White_Estimate,NotHispanicLatino_White_Percent,NotHispanicLatino_BlackAA_Estimate,NotHispanicLatino_BlackAA_Percent,NotHispanicLatino_AIAN_Estimate,NotHispanicLatino_AIAN_Percent,NotHispanicLatino_Asian_Estimate,NotHispanicLatino_Asian_Percent,NotHispanicLatino_NHOPI_Estimate,NotHispanicLatino_NHOPI_Percent,NotHispanicLatino_AloneOther_Estimate,NotHispanicLatino_AloneOther_Percent,NotHispanicLatino_TwoMore_Estimate,NotHispanicLatino_TwoMore_Percent,NotHispanicLatino_TwoMore_IncludeOther_Estimate,NotHispanicLatino_TwoMore_IncludeOther_Percent,NotHispanicLatino_TwoMore_ExcludeOtherThree_Estimate,NotHispanicLatino_TwoMore_ExcludeOtherThree_Percent,HousingUnits_Estimate,HousingUnits_Percent,Vote_18andOver_Estimate,Vote_18andOver_Percent,Vote_Male_18andOver_Estimate,Vote_Male_18andOver_Percent,Vote_Female_18andOver_Estimate,Vote_Female_18andOver_Percent
34205,8600000US34205,32294,14446,44.7,17848,55.3,80.9,2035,6.3,1945,6,1513,4.7,1710,5.3,1728,5.4,4504,13.9,3392,10.5,3556,11,2289,7.1,2350,7.3,3814,11.8,2145,6.6,1313,4.1,43.4,6570,20.3,26309,81.5,25724,79.7,24808,76.8,8599,26.6,7272,22.5,11252,43.7,14472,56.3,77.8,2895,39.8,4377,60.2,66.1,31734,98.3,560,1.7,25806,79.9,4164,12.9,50,0.2,0,0,0,0,0,0,0,0,552,1.7,50,0.2,159,0.5,140,0.4,18,0.1,2,0,79,0.2,104,0.3,0,0,0,0,0,0,0,0,0,0,1162,3.6,275,0.9,66,0.2,84,0.3,0,0,32294,32294,26336,81.6,4477,13.9,132,0.4,725,2.2,31,0.1,1228,3.8,32294,6718,20.8,3631,11.2,1167,3.6,362,1.1,1558,4.8,25576,79.2,20469,63.4,4059,12.6,50,0.2,552,1.7,0,0,0,0,446,1.4,0,0,446,1.4,15703,(X),23230,23230,10163,43.7,13067,56.3
34207,8600000US34207,36292,18263,50.3,18029,49.7,101.3,2479,6.8,1861,5.1,1683,4.6,1592,4.4,2427,6.7,4138,11.4,3684,10.2,3929,10.8,2629,7.2,2637,7.3,5012,13.8,3178,8.8,1043,2.9,45.6,6866,18.9,30136,83,29426,81.1,28312,78,10848,29.9,9233,25.4,14894,50.6,14532,49.4,102.5,4379,47.4,4854,52.6,90.2,35422,97.6,870,2.4,31991,88.1,2320,6.4,177,0.5,0,0,0,0,0,0,0,0,284,0.8,127,0.3,15,0,23,0.1,11,0,18,0,56,0.2,34,0.1,30,0.1,0,0,16,0,0,0,14,0,620,1.7,530,1.5,56,0.2,39,0.1,21,0.1,36292,36292,32664,90,2971,8.2,297,0.8,523,1.4,30,0.1,744,2.1,36292,9333,25.7,4130,11.4,1156,3.2,1287,3.5,2760,7.6,26959,74.3,23449,64.6,2285,6.3,138,0.4,284,0.8,30,0.1,64,0.2,709,2,119,0.3,590,1.6,19218,(X),25824,25824,13093,50.7,12731,49.3
34208,8600000US34208,40998,20186,49.2,20812,50.8,97,2474,6,2856,7,2921,7.1,3002,7.3,2359,5.8,5617,13.7,5208,12.7,4681,11.4,2668,6.5,2261,5.5,4248,10.4,2044,5,659,1.6,36.9,10089,24.6,32141,78.4,30909,75.4,29065,70.9,8075,19.7,6951,17,15259,49.4,15650,50.6,97.5,3391,48.8,3560,51.2,95.3,40134,97.9,864,2.1,28301,69,9908,24.2,53,0.1,0,0,0,0,0,0,0,0,554,1.4,391,1,30,0.1,31,0.1,0,0,10,0,92,0.2,0,0,31,0.1,31,0.1,0,0,0,0,0,0,1287,3.1,448,1.1,96,0.2,77,0.2,0,0,40998,40998,29138,71.1,10377,25.3,197,0.5,675,1.6,31,0.1,1482,3.6,40998,12548,30.6,8437,20.6,1220,3,377,0.9,2514,6.1,28450,69.4,17382,42.4,9801,23.9,53,0.1,554,1.4,31,0.1,16,0,613,1.5,0,0,613,1.5,14963,(X),26458,26458,12856,48.6,13602,51.4
34209,8600000US34209,35172,16765,47.7,18407,52.3,91.1,965,2.7,1109,3.2,1452,4.1,1927,5.5,1555,4.4,3335,9.5,2872,8.2,4154,11.8,2783,7.9,2856,8.1,5586,15.9,3959,11.3,2619,7.4,55.3,4783,13.6,31229,88.8,30389,86.4,29353,83.5,14086,40,12164,34.6,14288,47,16101,53,88.7,5436,44.7,6728,55.3,80.8,34407,97.8,765,2.2,32942,93.7,865,2.5,46,0.1,29,0.1,6,0,0,0,0,0,279,0.8,59,0.2,103,0.3,31,0.1,24,0.1,6,0,56,0.2,0,0,60,0.2,60,0.2,0,0,0,0,0,0,215,0.6,311,0.9,276,0.8,65,0.2,0,0,35172,35172,33636,95.6,1176,3.3,322,0.9,415,1.2,60,0.2,328,0.9,35172,2551,7.3,374,1.1,725,2.1,672,1.9,780,2.2,32621,92.7,30782,87.5,786,2.2,46,0.1,279,0.8,0,0,16,0,712,2,81,0.2,631,1.8,18490,(X),29173,29173,13574,46.5,15599,53.5
34210,8600000US34210,16462,7862,47.8,8600,52.2,91.4,574,3.5,422,2.6,609,3.7,1206,7.3,665,4,1888,11.5,1293,7.9,1789,10.9,1245,7.6,1206,7.3,2506,15.2,2217,13.5,842,5.1,53.8,2208,13.4,14760,89.7,14254,86.6,13443,81.7,6227,37.8,5565,33.8,6575,46.1,7679,53.9,85.6,2481,44.6,3084,55.4,80.4,16249,98.7,213,1.3,14093,85.6,1455,8.8,0,0,0,0,0,0,0,0,0,0,653,4,220,1.3,260,1.6,5,0,5,0,85,0.5,0,0,78,0.5,0,0,0,0,0,0,0,0,0,0,48,0.3,119,0.7,12,0.1,55,0.3,0,0,16462,16462,14302,86.9,1583,9.6,12,0.1,734,4.5,0,0,66,0.4,16462,1647,10,286,1.7,449,2.7,277,1.7,635,3.9,14815,90,12610,76.6,1356,8.2,0,0,653,4,0,0,0,0,196,1.2,1,0,195,1.2,10928,(X),12985,12985,5981,46.1,7004,53.9
34211,8600000US34211,8898,4504,50.6,4394,49.4,102.5,600,6.7,390,4.4,81,0.9,211,2.4,584,6.6,813,9.1,918,10.3,681,7.7,813,9.1,871,9.8,1994,22.4,713,8,229,2.6,56.6,1186,13.3,7746,87.1,7712,86.7,7460,83.8,3567,40.1,2936,33,3885,50.4,3827,49.6,101.5,1690,57.6,1246,42.4,135.6,8659,97.3,239,2.7,8139,91.5,255,2.9,0,0,0,0,0,0,0,0,0,0,196,2.2,129,1.4,27,0.3,28,0.3,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0.8,184,2.1,0,0,45,0.5,0,0,8898,8898,8378,94.2,439,4.9,0,0,251,2.8,0,0,79,0.9,8898,759,8.5,113,1.3,211,2.4,0,0,435,4.9,8139,91.5,7509,84.4,222,2.5,0,0,196,2.2,0,0,0,0,212,2.4,0,0,212,2.4,5150,(X),7321,7321,3744,51.1,3577,48.9
34212,8600000US34212,21244,10386,48.9,10858,51.1,95.7,1087,5.1,1442,6.8,1599,7.5,1015,4.8,1140,5.4,1464,6.9,2232,10.5,3698,17.4,1775,8.4,1311,6.2,2936,13.8,1130,5.3,415,2,47.1,4648,21.9,16847,79.3,16596,78.1,15848,74.6,5482,25.8,4481,21.1,8015,48.3,8581,51.7,93.4,2193,48.9,2288,51.1,95.8,20872,98.2,372,1.8,18969,89.3,552,2.6,0,0,0,0,0,0,0,0,0,0,1289,6.1,98,0.5,229,1.1,133,0.6,0,0,35,0.2,764,3.6,30,0.1,14,0.1,14,0.1,0,0,0,0,0,0,48,0.2,64,0.3,263,1.2,45,0.2,0,0,21244,21244,19341,91,616,2.9,263,1.2,1334,6.3,14,0.1,48,0.2,21244,2427,11.4,103,0.5,339,1.6,222,1,1763,8.3,18817,88.6,16562,78,552,2.6,0,0,1289,6.1,14,0.1,28,0.1,372,1.8,0,0,372,1.8,8965,(X),15225,15225,7474,49.1,7751,50.9
34215,8600000US34215,596,276,46.3,320,53.7,86.3,0,0,0,0,17,2.9,14,2.3,43,7.2,43,7.2,42,7,64,10.7,40,6.7,36,6,108,18.1,189,31.7,0,0,62.9,17,2.9,579,97.1,579,97.1,564,94.6,307,51.5,297,49.8,276,47.7,303,52.3,91.1,156,52.5,141,47.5,110.6,595,99.8,1,0.2,584,98,9,1.5,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,596,596,585,98.2,10,1.7,1,0.2,1,0.2,0,0,0,0,596,28,4.7,27,4.5,1,0.2,0,0,0,0,568,95.3,557,93.5,9,1.5,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,556,(X),578,578,276,47.8,302,52.2
34216,8600000US34216,724,345,47.7,379,52.3,91,11,1.5,21,2.9,6,0.8,6,0.8,8,1.1,24,3.3,11,1.5,50,6.9,102,14.1,96,13.3,208,28.7,110,15.2,71,9.8,66.9,44,6.1,686,94.8,680,93.9,680,93.9,461,63.7,389,53.7,327,48.1,353,51.9,92.6,167,42.9,222,57.1,75.2,724,100,0,0,701,96.8,2,0.3,20,2.8,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,724,701,96.8,2,0.3,20,2.8,1,0.1,0,0,0,0,724,11,1.5,1,0.1,0,0,0,0,10,1.4,713,98.5,690,95.3,2,0.3,20,2.8,1,0.1,0,0,0,0,0,0,0,0,0,0,1360,(X),664,664,320,48.2,344,51.8
34217,8600000US34217,5079,2298,45.2,2781,54.8,82.6,111,2.2,62,1.2,104,2,38,0.7,138,2.7,277,5.5,253,5,521,10.3,532,10.5,605,11.9,1187,23.4,1068,21,183,3.6,64.2,313,6.2,4772,94,4766,93.8,4716,92.9,2835,55.8,2438,48,2234,46.9,2532,53.1,88.2,1123,46.1,1315,53.9,85.4,5054,99.5,25,0.5,4961,97.7,19,0.4,19,0.4,7,0.1,8,0.2,0,0,4,0.1,20,0.4,0,0,0,0,2,0,0,0,0,0,18,0.4,0,0,0,0,0,0,0,0,0,0,0,0,35,0.7,0,0,7,0.1,18,0.4,0,0,5079,5079,4986,98.2,19,0.4,26,0.5,38,0.7,0,0,35,0.7,5079,163,3.2,19,0.4,19,0.4,9,0.2,116,2.3,4916,96.8,4833,95.2,19,0.4,19,0.4,20,0.4,0,0,0,0,25,0.5,0,0,25,0.5,6624,(X),4522,4522,2137,47.3,2385,52.7
34219,8600000US34219,24750,12024,48.6,12726,51.4,94.5,1278,5.2,1368,5.5,1583,6.4,1322,5.3,950,3.8,2487,10,3296,13.3,3879,15.7,1291,5.2,1594,6.4,3935,15.9,1440,5.8,327,1.3,45.3,5057,20.4,20263,81.9,19693,79.6,18968,76.6,6641,26.8,5702,23,9449,48,10244,52,92.2,2736,48,2966,52,92.2,24106,97.4,644,2.6,22550,91.1,739,3,0,0,0,0,0,0,0,0,0,0,690,2.8,132,0.5,113,0.5,184,0.7,7,0,0,0,149,0.6,105,0.4,0,0,0,0,0,0,0,0,0,0,127,0.5,327,1.3,29,0.1,218,0.9,0,0,24750,24750,23144,93.5,1125,4.5,49,0.2,928,3.7,0,0,177,0.7,24750,2722,11,548,2.2,1182,4.8,244,1,748,3,22028,89,20152,81.4,705,2.8,0,0,668,2.7,0,0,27,0.1,476,1.9,39,0.2,437,1.8,10093,(X),19176,19176,9236,48.2,9940,51.8
34221,8600000US34221,46357,22837,49.3,23520,50.7,97.1,2444,5.3,2689,5.8,2382,5.1,2552,5.5,2583,5.6,5249,11.3,5489,11.8,5321,11.5,3347,7.2,3588,7.7,5593,12.1,3764,8.1,1356,2.9,44.7,9321,20.1,38096,82.2,37036,79.9,35673,77,12892,27.8,10713,23.1,18378,49.6,18658,50.4,98.5,4834,45.1,5879,54.9,82.2,45296,97.7,1061,2.3,35800,77.2,7386,15.9,168,0.4,34,0.1,12,0,0,0,0,0,657,1.4,108,0.2,203,0.4,93,0.2,28,0.1,4,0,79,0.2,142,0.3,0,0,0,0,0,0,0,0,0,0,1285,2.8,317,0.7,137,0.3,144,0.3,9,0,46357,46357,36765,79.3,7882,17,434,0.9,883,1.9,158,0.3,1416,3.1,46357,8550,18.4,6049,13,1183,2.6,451,1,867,1.9,37807,81.6,28915,62.4,7148,15.4,168,0.4,657,1.4,0,0,78,0.2,841,1.8,0,0,841,1.8,20236,(X),34269,34269,16833,49.1,17436,50.9
34222,8600000US34222,11659,5331,45.7,6328,54.3,84.2,246,2.1,385,3.3,721,6.2,510,4.4,416,3.6,551,4.7,837,7.2,1384,11.9,882,7.6,936,8,2539,21.8,1585,13.6,667,5.7,59.2,1793,15.4,10223,87.7,9866,84.6,9685,83.1,5398,46.3,4791,41.1,4307,43.7,5559,56.3,77.5,2036,42.5,2755,57.5,73.9,11589,99.4,70,0.6,10581,90.8,452,3.9,18,0.2,0,0,0,0,0,0,0,0,199,1.7,76,0.7,14,0.1,20,0.2,11,0.1,0,0,52,0.4,26,0.2,0,0,0,0,0,0,0,0,0,0,339,2.9,1,0,29,0.2,0,0,0,0,11659,11659,10636,91.2,453,3.9,47,0.4,214,1.8,15,0.1,364,3.1,11659,1203,10.3,497,4.3,350,3,313,2.7,43,0.4,10456,89.7,9601,82.3,452,3.9,18,0.2,199,1.7,0,0,116,1,70,0.6,25,0.2,45,0.4,7415,(X),9708,9708,4198,43.2,5510,56.8
34228,8600000US34228,7283,3563,48.9,3720,51.1,95.8,9,0.1,9,0.1,74,1,36,0.5,90,1.2,135,1.9,189,2.6,339,4.7,444,6.1,885,12.2,2306,31.7,2120,29.1,647,8.9,71.3,115,1.6,7183,98.6,7168,98.4,7155,98.2,5671,77.9,5073,69.7,3481,48.6,3687,51.4,94.4,2552,50.3,2521,49.7,101.2,7224,99.2,59,0.8,7141,98.1,0,0,12,0.2,0,0,0,0,0,0,0,0,71,1,21,0.3,19,0.3,26,0.4,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.8,0,0,7283,7283,7200,98.9,0,0,12,0.2,130,1.8,0,0,0,0,7283,148,2,19,0.3,46,0.6,21,0.3,62,0.9,7135,98,6993,96,0,0,12,0.2,71,1,0,0,0,0,59,0.8,0,0,59,0.8,9338,(X),6846,6846,3300,48.2,3546,51.8
34240,8600000US34240,11442,5714,49.9,5728,50.1,99.8,681,6,626,5.5,693,6.1,750,6.6,424,3.7,754,6.6,1013,8.9,1777,15.5,1143,10,767,6.7,1840,16.1,627,5.5,347,3,49.5,2505,21.9,9312,81.4,8937,78.1,8600,75.2,3309,28.9,2814,24.6,4275,47.8,4662,52.2,91.7,1419,50.4,1395,49.6,101.7,11404,99.7,38,0.3,10857,94.9,155,1.4,16,0.1,0,0,16,0.1,0,0,0,0,376,3.3,135,1.2,57,0.5,43,0.4,11,0.1,11,0.1,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.2,15,0.1,0,0,0,0,11442,11442,10895,95.2,178,1.6,31,0.3,376,3.3,0,0,0,0,11442,564,4.9,97,0.8,266,2.3,75,0.7,126,1.1,10878,95.1,10316,90.2,155,1.4,16,0.1,376,3.3,0,0,0,0,15,0.1,0,0,15,0.1,5657,(X),8633,8633,4127,47.8,4506,52.2
34243,8600000US34243,31901,14830,46.5,17071,53.5,86.9,1027,3.2,1448,4.5,1109,3.5,1484,4.7,1611,5,3129,9.8,2717,8.5,4021,12.6,2194,6.9,2783,8.7,5413,17,3626,11.4,1339,4.2,53.6,4493,14.1,28018,87.8,27408,85.9,26421,82.8,12298,38.6,10378,32.5,12428,45.3,14980,54.7,83,4516,43.5,5862,56.5,77,31472,98.7,429,1.3,28531,89.4,1640,5.1,23,0.1,0,0,0,0,0,0,0,0,1009,3.2,280,0.9,185,0.6,17,0.1,13,0,107,0.3,232,0.7,175,0.5,19,0.1,0,0,19,0.1,0,0,0,0,250,0.8,238,0.7,33,0.1,48,0.2,0,0,31901,31901,28960,90.8,1923,6,110,0.3,1066,3.3,19,0.1,306,1,31901,2865,9,505,1.6,510,1.6,556,1.7,1294,4.1,29036,91,25960,81.4,1613,5.1,7,0,1001,3.1,19,0.1,29,0.1,407,1.3,34,0.1,373,1.2,15856,(X),25979,25979,11825,45.5,14154,54.5
34251,8600000US34251,7115,4056,57,3059,43,132.6,180,2.5,372,5.2,740,10.4,637,9,470,6.6,605,8.5,778,10.9,1347,18.9,743,10.4,408,5.7,562,7.9,208,2.9,65,0.9,42.2,1764,24.8,5509,77.4,5351,75.2,5039,70.8,1007,14.2,835,11.7,2780,52,2571,48,108.1,490,58.7,345,41.3,142,7039,98.9,76,1.1,6865,96.5,49,0.7,0,0,0,0,0,0,0,0,0,0,125,1.8,12,0.2,25,0.4,20,0.3,0,0,0,0,15,0.2,53,0.7,0,0,0,0,0,0,0,0,0,0,0,0,20,0.3,0,0,29,0.4,0,0,7115,7115,6921,97.3,69,1,0,0,174,2.4,20,0.3,7,0.1,7115,732,10.3,170,2.4,33,0.5,0,0,529,7.4,6383,89.7,6160,86.6,49,0.7,0,0,105,1.5,0,0,0,0,69,1,0,0,69,1,2292,(X),5274,5274,2731,51.8,2543,48.2
34223,8600000US34223,18336,9117,49.7,9219,50.3,98.9,282,1.5,365,2,528,2.9,262,1.4,354,1.9,877,4.8,1034,5.6,1435,7.8,1322,7.2,1962,10.7,4929,26.9,3635,19.8,1351,7.4,66.5,1346,7.3,17123,93.4,16990,92.7,16859,91.9,11127,60.7,9915,54.1,8259,48.6,8731,51.4,94.6,4795,48.4,5120,51.6,93.7,18099,98.7,237,1.3,17453,95.2,7,0,39,0.2,0,0,0,0,0,0,0,0,541,3,26,0.1,211,1.2,239,1.3,22,0.1,15,0.1,0,0,28,0.2,10,0.1,10,0.1,0,0,0,0,0,0,49,0.3,0,0,67,0.4,130,0.7,0,0,18336,18336,17690,96.5,7,0,106,0.6,671,3.7,20,0.1,79,0.4,18336,556,3,30,0.2,51,0.3,274,1.5,201,1.1,17780,97,16959,92.5,7,0,39,0.2,541,3,10,0.1,17,0.1,207,1.1,0,0,207,1.1,13848,(X),16251,16251,7912,48.7,8339,51.3
34224,8600000US34224,16422,7984,48.6,8438,51.4,94.6,390,2.4,356,2.2,564,3.4,614,3.7,743,4.5,1059,6.4,963,5.9,1834,11.2,1403,8.5,1418,8.6,3639,22.2,2399,14.6,1040,6.3,60.7,1609,9.8,15112,92,14813,90.2,14457,88,7853,47.8,7078,43.1,7244,48.9,7569,51.1,95.7,3448,48.7,3630,51.3,95,16014,97.5,408,2.5,15647,95.3,0,0,66,0.4,0,0,0,0,0,0,0,0,241,1.5,22,0.1,0,0,36,0.2,0,0,0,0,183,1.1,0,0,0,0,0,0,0,0,0,0,0,0,60,0.4,41,0.2,102,0.6,54,0.3,0,0,16422,16422,16003,97.4,236,1.4,311,1.9,347,2.1,16,0.1,60,0.4,16422,832,5.1,112,0.7,127,0.8,546,3.3,47,0.3,15590,94.9,14862,90.5,0,0,33,0.2,241,1.5,0,0,46,0.3,408,2.5,0,0,408,2.5,10929,(X),13755,13755,6596,48,7159,52
34228,8600000US34228,7283,3563,48.9,3720,51.1,95.8,9,0.1,9,0.1,74,1,36,0.5,90,1.2,135,1.9,189,2.6,339,4.7,444,6.1,885,12.2,2306,31.7,2120,29.1,647,8.9,71.3,115,1.6,7183,98.6,7168,98.4,7155,98.2,5671,77.9,5073,69.7,3481,48.6,3687,51.4,94.4,2552,50.3,2521,49.7,101.2,7224,99.2,59,0.8,7141,98.1,0,0,12,0.2,0,0,0,0,0,0,0,0,71,1,21,0.3,19,0.3,26,0.4,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.8,0,0,7283,7283,7200,98.9,0,0,12,0.2,130,1.8,0,0,0,0,7283,148,2,19,0.3,46,0.6,21,0.3,62,0.9,7135,98,6993,96,0,0,12,0.2,71,1,0,0,0,0,59,0.8,0,0,59,0.8,9338,(X),6846,6846,3300,48.2,3546,51.8
34229,8600000US34229,7674,3738,48.7,3936,51.3,95,347,4.5,318,4.1,243,3.2,232,3,182,2.4,414,5.4,542,7.1,862,11.2,798,10.4,536,7,1733,22.6,1192,15.5,275,3.6,59.4,1089,14.2,6707,87.4,6585,85.8,6486,84.5,3511,45.8,3200,41.7,3250,49.4,3335,50.6,97.5,1699,53.1,1501,46.9,113.2,7517,98,157,2,7355,95.8,68,0.9,0,0,0,0,0,0,0,0,0,0,79,1,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.2,0,0,157,2,0,0,0,0,7674,7674,7512,97.9,68,0.9,157,2,79,1,0,0,15,0.2,7674,752,9.8,14,0.2,82,1.1,0,0,656,8.5,6922,90.2,6603,86,68,0.9,0,0,79,1,0,0,15,0.2,157,2,0,0,157,2,4364,(X),6335,6335,3137,49.5,3198,50.5
34231,8600000US34231,30341,14165,46.7,16176,53.3,87.6,988,3.3,1413,4.7,1228,4,1099,3.6,1119,3.7,2580,8.5,3033,10,4347,14.3,2514,8.3,2274,7.5,4332,14.3,3317,10.9,2097,6.9,53.7,4401,14.5,26482,87.3,25940,85.5,25459,83.9,11062,36.5,9746,32.1,12126,46.7,13814,53.3,87.8,4093,42,5653,58,72.4,30005,98.9,336,1.1,28286,93.2,661,2.2,124,0.4,21,0.1,0,0,0,0,0,0,479,1.6,104,0.3,153,0.5,60,0.2,11,0,64,0.2,75,0.2,12,0,11,0,0,0,0,0,0,0,11,0,444,1.5,73,0.2,95,0.3,102,0.3,0,0,30341,30341,28612,94.3,757,2.5,242,0.8,591,1.9,11,0,487,1.6,30341,2594,8.5,753,2.5,392,1.3,279,0.9,1170,3.9,27747,91.5,26234,86.5,646,2.1,43,0.1,469,1.5,0,0,62,0.2,293,1,0,0,293,1,18415,(X),24634,24634,11561,46.9,13073,53.1
34232,8600000US34232,35240,17156,48.7,18084,51.3,94.9,1592,4.5,1617,4.6,1736,4.9,1622,4.6,1805,5.1,4636,13.2,3930,11.2,4362,12.4,2798,7.9,2824,8,4294,12.2,2541,7.2,1483,4.2,46.5,5943,16.9,29859,84.7,29297,83.1,28312,80.3,10097,28.7,8318,23.6,13876,47.4,15421,52.6,90,3313,39.8,5005,60.2,66.2,34584,98.1,656,1.9,32852,93.2,481,1.4,42,0.1,5,0,0,0,8,0,0,0,709,2,59,0.2,123,0.3,43,0.1,0,0,6,0,447,1.3,31,0.1,0,0,0,0,0,0,0,0,0,0,500,1.4,182,0.5,167,0.5,157,0.4,8,0,35240,35240,33495,95,678,1.9,234,0.7,885,2.5,12,0,611,1.7,35240,5647,16,1851,5.3,520,1.5,1417,4,1859,5.3,29593,84,27863,79.1,434,1.2,42,0.1,696,2,0,0,59,0.2,499,1.4,30,0.1,469,1.3,15432,(X),27102,27102,12724,46.9,14378,53.1
