FullName,CT,CTID,County,CountyID,State,StateID,TotalPop_Estimate,Male_Estimate,Female_Estimate,Male_SexRatio_Estimate,Under5_Estimate,5to9_Estimate,10to14_Estimate,15to19_Estimate,20to24_Estimate,25to34_Estimate,35to44_Estimate,45to54_Estimate,55to59_Estimate,60to64_Estimate,65to74_Estimate,75to84_Estimate,85andOver_Estimate,MedianAge_Estimate,Under18_Estimate,16andOver_Estimate,18andOver_Estimate,21andOver_Estimate,62andOver_Estimate,65andOver_Estimate,Male_18andOver_Estimate,Female_18andOver_Estimate,Male_18andOver_SexRatio_Estimate,Male_65andOver_Estimate,Female_65andOver_Estimate,Male_65andOver_SexRatio_Estimate,TotalRace_Estimate,OneRace_Estimate,TwoRace_Estimate,OneRace_White_Estimate,OneRace_BlackAA_Estimate,OneRace_AIAN_Estimate,OneRace_AIAN_Cherokee_Estimate,OneRace_AIAN_Chippewa_Estimate,OneRace_AIAN_Navajo_Estimate,OneRace_AIAN_Sioux_Estimate,OneRace_Asian_Estimate,OneRace_Asian_AsianIndian_Estimate,OneRace_Asian_Chinese_Estimate,OneRace_Asian_Filipino_Estimate,OneRace_Asian_Japanese_Estimate,OneRace_Asian_Korean_Estimate,OneRace_Asian_Vietnamese_Estimate,OneRace_Asian_Other_Estimate,OneRace_NHOPI_Estimate,OneRace_NHOPIN_NativeHawaiian_Estimate,OneRace_NHOPIG_Chamorro_Estimate,OneRace_NHOPI_Samoan_Estimate,OneRace_NHOPIOP_Other_Estimate,OneRace_SomeOtherRace_Estimate,TwoRace_White_BlackAA_Estimate,TwoRace_White_AIAN_Estimate,TwoRace_White_Asian_Estimate,TwoRace_BlackAA_AIAN_Estimate,AloneComboRace_Estimate,AloneComboRace_White_Estimate,AloneComboRace_BlackAA_Estimate,AloneComboRace_AIAN_Estimate,AloneComboRace_Asian_Estimate,AloneComboRace_NHOPI_Estimate,AloneComboRace_Other_Estimate,HispanicLatino_Estimate,HispanicLatino_AnyRace_Estimate,HispanicLatino_Mexican_AnyRace_Estimate,HispanicLatino_PuertoRican_AnyRace_Estimate,HispanicLatino_Cuban_AnyRace_Estimate,HispanicLatino_Other_AnyRace_Estimate,NotHispanicLatino_Estimate,NotHispanicLatino_White_Estimate,NotHispanicLatino_BlackAA_Estimate,NotHispanicLatino_AIAN_Estimate,NotHispanicLatino_Asian_Estimate,NotHispanicLatino_NHOPI_Estimate,NotHispanicLatino_AloneOther_Estimate,NotHispanicLatino_TwoMore_Estimate,NotHispanicLatino_TwoMore_IncludeOther_Estimate,NotHispanicLatino_TwoMore_ExcludeOtherThree_Estimate,HousingUnits_Estimate,Vote_18andOver_Estimate,Vote_Male_18andOver_Estimate,Vote_Female_18andOver_Estimate
"Census Tract 17.02, Sarasota County, Florida",Census Tract 17.02,17.02, Sarasota County,115, Florida,12,5995,2623,3372,77.8,216,358,297,296,199,608,524,670,697,391,913,449,377,52.4,1069,4986,4926,4800,1868,1739,2037,2889,70.5,549,1190,46.1,5995,5837,158,5543,55,0,0,0,0,0,171,26,0,0,12,53,65,15,0,0,0,0,0,68,92,0,0,0,5995,5681,147,0,171,66,134,5995,791,200,221,306,64,5204,4978,55,0,171,0,0,0,0,0,2660,4796,2008,2788
"Census Tract 17.03, Sarasota County, Florida",Census Tract 17.03,17.03, Sarasota County,115, Florida,12,3929,1783,2146,83.1,101,143,184,253,156,406,372,582,210,234,366,451,471,50.6,604,3493,3325,3215,1419,1288,1523,1802,84.5,411,877,46.9,3929,3864,65,3584,7,0,0,0,0,0,73,0,47,26,0,0,0,0,0,0,0,0,0,200,0,0,11,0,3929,3649,7,0,84,0,254,3929,618,171,94,21,332,3311,3220,7,0,73,0,0,11,0,11,2316,3155,1455,1700
"Census Tract 17.04, Sarasota County, Florida",Census Tract 17.04,17.04, Sarasota County,115, Florida,12,3109,1507,1602,94.1,130,154,247,184,203,356,385,383,257,231,207,219,153,40.9,639,2548,2470,2357,730,579,1112,1358,81.9,235,344,68.3,3109,2882,227,2478,236,0,0,0,0,0,15,7,0,0,8,0,0,0,0,0,0,0,0,153,54,0,0,0,3109,2696,299,9,24,0,317,3109,580,234,59,13,274,2529,2215,236,0,15,0,0,63,0,63,1505,2198,935,1263
"Census Tract 18.01, Sarasota County, Florida",Census Tract 18.01,18.01, Sarasota County,115, Florida,12,3588,1665,1923,86.6,86,172,176,130,12,87,281,338,395,273,720,641,277,63.2,529,3125,3059,3024,1830,1638,1428,1631,87.6,723,915,79,3588,3503,85,3402,0,0,0,0,0,0,46,0,26,0,0,9,0,11,0,0,0,0,0,55,0,23,33,0,3588,3487,0,23,79,0,84,3588,227,89,57,52,29,3361,3245,0,0,46,0,14,56,0,56,2191,3022,1401,1621
"Census Tract 18.03, Sarasota County, Florida",Census Tract 18.03,18.03, Sarasota County,115, Florida,12,2779,1386,1393,99.5,45,106,98,46,136,317,305,389,129,293,465,293,157,53.7,295,2508,2484,2468,1055,915,1241,1243,99.8,379,536,70.7,2779,2779,0,2599,93,7,0,0,0,0,68,57,11,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,2779,2599,93,7,68,12,0,2779,66,20,10,2,34,2713,2556,93,7,57,0,0,0,0,0,1631,2397,1229,1168
"Census Tract 18.04, Sarasota County, Florida",Census Tract 18.04,18.04, Sarasota County,115, Florida,12,2746,1542,1204,128.1,113,108,48,179,83,337,443,410,205,220,381,174,45,46.9,377,2396,2369,2262,723,600,1331,1038,128.2,329,271,121.4,2746,2659,87,2557,16,7,0,0,0,0,50,0,21,14,0,0,15,0,0,0,0,0,0,29,0,51,7,0,2746,2644,36,78,57,0,38,2746,337,173,22,0,142,2409,2258,16,7,50,0,0,78,0,78,1301,2113,1177,936
"Census Tract 18.05, Sarasota County, Florida",Census Tract 18.05,18.05, Sarasota County,115, Florida,12,2174,1096,1078,101.7,82,164,150,152,48,100,215,233,161,123,369,306,71,52.8,541,1633,1633,1626,828,746,737,896,82.3,341,405,84.2,2174,2172,2,2136,16,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2174,2138,16,22,0,0,0,2174,34,19,7,8,0,2140,2102,16,20,0,0,0,2,0,2,1244,1567,697,870
"Census Tract 19.03, Sarasota County, Florida",Census Tract 19.03,19.03, Sarasota County,115, Florida,12,1832,845,987,85.6,27,36,88,155,7,68,133,163,175,175,389,286,130,61.1,291,1621,1541,1519,890,805,700,841,83.2,369,436,84.6,1832,1769,63,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,1832,1819,30,0,6,0,70,1832,65,0,0,0,65,1767,1756,0,0,0,0,5,6,0,6,1552,1451,661,790
"Census Tract 19.04, Sarasota County, Florida",Census Tract 19.04,19.04, Sarasota County,115, Florida,12,2551,1386,1165,119,53,27,36,108,160,67,152,284,307,279,659,360,59,61.4,214,2380,2337,2308,1229,1078,1257,1080,116.4,509,569,89.5,2551,2513,38,2466,0,9,0,0,0,0,38,1,12,12,0,0,0,13,0,0,0,0,0,0,0,8,19,0,2551,2504,0,17,57,0,11,2551,95,8,0,17,70,2456,2382,0,9,38,0,0,27,0,27,2317,2250,1185,1065
"Census Tract 19.05, Sarasota County, Florida",Census Tract 19.05,19.05, Sarasota County,115, Florida,12,1127,500,627,79.7,9,0,0,39,0,9,4,93,36,118,356,294,169,72.2,32,1095,1095,1079,866,819,468,627,74.6,392,427,91.8,1127,1097,30,1067,0,8,0,0,0,0,18,14,0,0,0,0,4,0,4,0,4,0,0,0,0,0,17,0,1127,1097,4,12,39,13,0,1127,0,0,0,0,0,1127,1067,0,8,18,4,0,30,0,30,3044,1012,439,573
"Census Tract 19.09, Sarasota County, Florida",Census Tract 19.09,19.09, Sarasota County,115, Florida,12,2133,1039,1094,95,0,25,79,37,10,88,67,125,120,122,531,603,326,72.6,134,2023,1999,1982,1552,1460,971,1028,94.5,709,751,94.4,2133,2087,46,2005,32,0,0,0,0,0,50,0,14,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,2133,2051,32,10,96,0,0,2133,54,0,0,6,48,2079,1979,24,0,50,0,0,26,0,26,3783,1891,922,969
"Census Tract 20.03, Sarasota County, Florida",Census Tract 20.03,20.03, Sarasota County,115, Florida,12,5376,2297,3079,74.6,140,394,414,295,89,555,866,654,300,247,599,410,413,43.9,1168,4307,4208,4130,1587,1422,1818,2390,76.1,421,1001,42.1,5376,5263,113,5086,20,77,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0,0,46,26,12,75,0,5376,5199,46,89,109,0,46,5376,305,0,21,56,228,5071,4840,20,18,34,0,46,113,0,113,2917,4089,1779,2310
"Census Tract 20.04, Sarasota County, Florida",Census Tract 20.04,20.04, Sarasota County,115, Florida,12,4654,2155,2499,86.2,102,225,188,224,195,385,634,341,345,375,583,644,413,56,722,4066,3932,3915,1841,1640,1793,2139,83.8,712,928,76.7,4654,4293,361,4085,186,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4654,4446,186,0,22,0,361,4654,572,145,0,0,427,4082,3874,186,0,22,0,0,0,0,0,2616,3695,1690,2005
"Census Tract 20.07, Sarasota County, Florida",Census Tract 20.07,20.07, Sarasota County,115, Florida,12,2237,1009,1228,82.2,31,23,0,41,43,96,94,188,218,353,404,601,145,67.1,95,2183,2142,2142,1322,1150,935,1207,77.5,575,575,100,2237,2228,9,2109,0,34,34,0,0,0,77,0,73,4,0,0,0,0,0,0,0,0,0,8,0,0,9,0,2237,2118,0,34,86,0,8,2237,38,20,10,0,8,2199,2079,0,34,77,0,0,9,0,9,2074,1966,842,1124
"Census Tract 20.08, Sarasota County, Florida",Census Tract 20.08,20.08, Sarasota County,115, Florida,12,3228,1748,1480,118.1,43,37,156,155,47,201,153,466,256,304,695,475,240,62.4,332,2967,2896,2821,1643,1410,1519,1377,110.3,787,623,126.3,3228,3195,33,3081,0,0,0,0,0,0,39,0,0,0,0,0,38,1,0,0,0,0,0,75,14,0,0,0,3228,3114,14,0,39,0,94,3228,247,7,58,57,125,2981,2928,0,0,39,0,0,14,0,14,2027,2759,1437,1322
"Census Tract 20.11, Sarasota County, Florida",Census Tract 20.11,20.11, Sarasota County,115, Florida,12,1244,583,661,88.2,150,0,54,35,53,146,61,154,130,44,123,256,38,52.4,219,1040,1025,1005,434,417,503,522,96.4,201,216,93.1,1244,1240,4,1128,109,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1244,1132,109,7,0,0,0,1244,234,0,0,0,234,1010,894,109,3,0,0,0,4,0,4,1002,911,456,455
"Census Tract 20.12, Sarasota County, Florida",Census Tract 20.12,20.12, Sarasota County,115, Florida,12,3352,1505,1847,81.5,64,113,62,37,108,256,244,294,225,217,437,989,306,66.7,276,3113,3076,3062,1915,1732,1362,1714,79.5,740,992,74.6,3352,3280,72,3231,14,0,0,0,0,0,35,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3352,3303,14,0,35,0,72,3352,103,8,0,12,83,3249,3200,14,0,35,0,0,0,0,0,2535,2946,1319,1627
"Census Tract 20.13, Sarasota County, Florida",Census Tract 20.13,20.13, Sarasota County,115, Florida,12,3570,1463,2107,69.4,79,217,134,56,46,121,258,279,123,131,591,817,718,69.8,459,3128,3111,3084,2229,2126,1250,1861,67.2,919,1207,76.1,3570,3543,27,3332,18,34,0,0,0,0,159,57,88,14,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3570,3359,18,34,186,0,0,3570,77,37,0,25,15,3493,3255,18,34,159,0,0,27,0,27,2113,3037,1209,1828
"Census Tract 20.14, Sarasota County, Florida",Census Tract 20.14,20.14, Sarasota County,115, Florida,12,4859,2349,2510,93.6,115,40,112,326,21,130,247,443,397,641,1334,985,68,64.7,408,4512,4451,4266,2797,2387,2232,2219,100.6,1218,1169,104.2,4859,4833,26,4727,40,0,0,0,0,0,55,26,10,9,10,0,0,0,0,0,0,0,0,11,0,26,0,0,4859,4753,40,26,55,0,11,4859,81,0,0,0,81,4778,4646,40,0,55,0,11,26,0,26,3053,4359,2161,2198
"Census Tract 20.15, Sarasota County, Florida",Census Tract 20.15,20.15, Sarasota County,115, Florida,12,1747,676,1071,63.1,28,51,67,82,37,21,208,139,124,249,411,210,120,63.2,211,1564,1536,1519,954,741,596,940,63.4,342,399,85.7,1747,1711,36,1590,0,0,0,0,0,0,43,0,29,0,14,0,0,0,0,0,0,0,0,78,8,3,0,0,1747,1626,8,3,43,0,103,1747,236,34,51,82,69,1511,1457,0,0,43,0,0,11,0,11,1012,1437,577,860
"Census Tract 20.16, Sarasota County, Florida",Census Tract 20.16,20.16, Sarasota County,115, Florida,12,4359,2122,2237,94.9,116,42,91,91,84,172,326,410,406,384,998,1035,204,66.1,281,4093,4078,3991,2471,2237,1915,2163,88.5,1041,1196,87,4359,4304,55,4147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,0,11,0,4359,4202,177,0,11,0,24,4359,253,0,15,0,238,4106,4051,0,0,0,0,0,55,0,55,2721,3998,1892,2106
"Census Tract 21.01, Sarasota County, Florida",Census Tract 21.01,21.01, Sarasota County,115, Florida,12,3459,1588,1871,84.9,259,158,121,74,62,340,88,437,464,256,662,459,79,58.1,612,2921,2847,2785,1332,1200,1315,1532,85.8,593,607,97.7,3459,3459,0,3427,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3459,3427,32,0,0,0,0,3459,195,22,0,0,173,3264,3232,32,0,0,0,0,0,0,0,1800,2699,1248,1451
"Census Tract 21.02, Sarasota County, Florida",Census Tract 21.02,21.02, Sarasota County,115, Florida,12,2854,1456,1398,104.1,107,218,53,182,53,79,182,344,297,193,665,326,155,58.8,520,2436,2334,2294,1279,1146,1177,1157,101.7,622,524,118.7,2854,2745,109,2702,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,109,0,0,2854,2811,24,109,0,0,19,2854,107,0,16,0,91,2747,2595,24,0,0,0,19,109,0,109,1812,2289,1150,1139
"Census Tract 22.01, Sarasota County, Florida",Census Tract 22.01,22.01, Sarasota County,115, Florida,12,2569,1157,1412,81.9,41,14,68,60,139,31,172,234,183,255,650,622,100,67.3,162,2430,2407,2346,1519,1372,1102,1305,84.4,684,688,99.4,2569,2548,21,2478,32,0,0,0,0,0,38,0,0,17,0,0,21,0,0,0,0,0,0,0,0,21,0,0,2569,2499,32,21,38,0,0,2569,100,58,22,20,0,2469,2378,32,0,38,0,0,21,0,21,1776,2345,1063,1282
"Census Tract 22.03, Sarasota County, Florida",Census Tract 22.03,22.03, Sarasota County,115, Florida,12,4190,2242,1948,115.1,137,139,144,341,256,413,321,448,447,388,711,302,143,52.1,685,3765,3505,3386,1444,1156,1855,1650,112.4,555,601,92.3,4190,4016,174,3433,332,21,0,12,0,0,230,0,0,6,0,8,20,196,0,0,0,0,0,0,95,11,0,0,4190,3583,485,66,230,0,68,4190,304,0,34,0,270,3886,3173,332,21,230,0,0,130,24,106,2423,3311,1731,1580
"Census Tract 22.04, Sarasota County, Florida",Census Tract 22.04,22.04, Sarasota County,115, Florida,12,2576,1306,1270,102.8,223,185,46,85,106,40,276,322,164,254,343,98,434,55.4,518,2106,2058,2010,1105,875,891,1167,76.3,288,587,49.1,2576,2507,69,2065,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,69,0,0,0,2576,2134,307,0,0,0,204,2576,24,12,0,0,12,2552,2041,238,0,0,0,204,69,0,69,1335,1668,869,799
"Census Tract 22.05, Sarasota County, Florida",Census Tract 22.05,22.05, Sarasota County,115, Florida,12,2299,1177,1122,104.9,0,66,11,32,0,119,118,278,222,238,569,388,258,65.4,109,2212,2190,2190,1363,1215,1145,1045,109.6,765,450,170,2299,2299,0,2186,105,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,2186,105,8,0,0,0,2299,162,0,0,0,162,2137,2032,105,0,0,0,0,0,0,0,1525,2190,1145,1045
"Census Tract 23.02, Sarasota County, Florida",Census Tract 23.02,23.02, Sarasota County,115, Florida,12,4434,1980,2454,80.7,62,75,146,165,160,149,166,376,273,449,1020,1032,361,67.4,395,4151,4039,3986,2774,2413,1677,2362,71,998,1415,70.5,4434,4187,247,4054,2,0,0,0,0,0,131,0,0,131,0,0,0,0,0,0,0,0,0,0,74,11,89,0,4434,4283,146,11,290,0,3,4434,13,8,5,0,0,4421,4044,2,0,131,0,0,244,0,244,2767,3869,1611,2258
"Census Tract 23.04, Sarasota County, Florida",Census Tract 23.04,23.04, Sarasota County,115, Florida,12,2106,917,1189,77.1,26,10,11,24,32,156,44,174,191,184,650,374,230,68.1,54,2059,2052,2026,1376,1254,896,1156,77.5,535,719,74.4,2106,2084,22,1970,4,0,0,0,0,0,72,0,32,0,0,0,0,40,31,18,13,0,0,7,0,8,0,0,2106,1992,4,8,72,31,21,2106,85,0,14,45,26,2021,1899,4,0,72,31,7,8,0,8,2647,1968,887,1081
"Census Tract 23.05, Sarasota County, Florida",Census Tract 23.05,23.05, Sarasota County,115, Florida,12,1474,694,780,89,0,0,8,32,25,13,79,95,98,55,530,430,109,71.3,32,1466,1442,1434,1117,1069,678,764,88.7,493,576,85.6,1474,1474,0,1461,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,1461,0,0,13,0,0,1474,10,10,0,0,0,1464,1451,0,0,13,0,0,0,0,0,1693,1373,643,730
"Census Tract 23.06, Sarasota County, Florida",Census Tract 23.06,23.06, Sarasota County,115, Florida,12,3345,1539,1806,85.2,15,93,76,32,58,84,110,162,117,135,1099,925,439,70.9,216,3144,3129,3129,2524,2463,1486,1643,90.4,1177,1286,91.5,3345,3295,50,3194,47,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,43,0,50,0,0,3345,3244,47,50,0,11,43,3345,67,43,24,0,0,3278,3170,47,0,0,11,0,50,0,50,2056,3129,1486,1643
"Census Tract 23.07, Sarasota County, Florida",Census Tract 23.07,23.07, Sarasota County,115, Florida,12,1500,685,815,84,0,25,0,0,0,0,0,99,23,138,564,494,157,71.6,25,1475,1475,1475,1324,1215,673,802,83.9,539,676,79.7,1500,1500,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1500,1480,0,0,0,0,20,1500,8,0,8,0,0,1492,1472,0,0,0,0,20,0,0,0,1292,1475,673,802
"Census Tract 24.01, Sarasota County, Florida",Census Tract 24.01,24.01, Sarasota County,115, Florida,12,2917,1422,1495,95.1,17,8,48,82,27,51,82,236,218,365,1078,500,205,68.7,148,2815,2769,2762,2018,1783,1336,1433,93.2,860,923,93.2,2917,2910,7,2812,5,17,0,0,0,0,22,0,6,0,0,0,0,16,0,0,0,0,0,54,0,7,0,0,2917,2819,5,24,22,0,54,2917,113,83,0,11,19,2804,2764,5,6,22,0,0,7,0,7,2705,2539,1302,1237
"Census Tract 24.03, Sarasota County, Florida",Census Tract 24.03,24.03, Sarasota County,115, Florida,12,1479,611,868,70.4,0,34,0,47,90,88,33,170,67,63,211,376,300,69.8,59,1445,1420,1363,941,887,595,825,72.1,378,509,74.3,1479,1479,0,1430,35,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,1430,35,14,0,0,0,1479,71,71,0,0,0,1408,1359,35,14,0,0,0,0,0,0,1107,1309,541,768
"Census Tract 24.04, Sarasota County, Florida",Census Tract 24.04,24.04, Sarasota County,115, Florida,12,2132,1004,1128,89,47,120,52,50,206,31,249,202,122,182,358,369,144,59.4,247,1901,1885,1847,1006,871,875,1010,86.6,364,507,71.8,2132,1883,249,1741,0,0,0,0,0,0,142,0,0,0,0,0,142,0,0,0,0,0,0,0,0,22,0,0,2132,1990,0,22,142,0,227,2132,191,0,157,34,0,1941,1707,0,0,142,0,0,92,70,22,1401,1844,849,995
"Census Tract 25.04, Sarasota County, Florida",Census Tract 25.04,25.04, Sarasota County,115, Florida,12,3017,1300,1717,75.7,147,236,175,142,53,265,450,258,244,306,497,144,100,48.5,664,2405,2353,2311,935,741,1034,1319,78.4,313,428,73.1,3017,2901,116,2808,56,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,10,0,0,0,0,3017,2924,56,0,27,0,126,3017,385,45,87,61,192,2632,2549,56,0,27,0,0,0,0,0,1392,2297,1023,1274
"Census Tract 25.05, Sarasota County, Florida",Census Tract 25.05,25.05, Sarasota County,115, Florida,12,2290,1135,1155,98.3,87,159,92,92,45,295,238,324,203,239,263,168,85,50,399,1922,1891,1843,601,516,915,976,93.8,216,300,72,2290,2286,4,2213,2,28,0,0,0,0,43,5,8,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2290,2217,2,29,43,3,0,2290,105,43,15,17,30,2185,2108,2,28,43,0,0,4,0,4,1042,1843,891,952
"Census Tract 25.07, Sarasota County, Florida",Census Tract 25.07,25.07, Sarasota County,115, Florida,12,4654,2230,2424,92,70,79,236,297,216,387,285,731,562,331,850,392,218,55.2,495,4218,4159,3958,1653,1460,2025,2134,94.9,607,853,71.2,4654,4633,21,4532,0,18,0,18,0,0,57,0,0,57,0,0,0,0,0,0,0,0,0,26,0,0,0,0,4654,4553,0,18,57,0,47,4654,219,58,0,0,161,4435,4339,0,18,57,0,0,21,21,0,2571,4084,1978,2106
"Census Tract 25.08, Sarasota County, Florida",Census Tract 25.08,25.08, Sarasota County,115, Florida,12,3490,1895,1595,118.8,48,94,278,125,215,324,299,635,279,212,575,318,88,50.6,467,3050,3023,2926,1136,981,1603,1420,112.9,463,518,89.4,3490,3466,24,3385,6,0,0,0,0,0,33,21,0,12,0,0,0,0,0,0,0,0,0,42,21,3,0,0,3490,3409,27,3,33,0,42,3490,150,0,45,31,74,3340,3298,6,0,33,0,0,3,0,3,1732,2969,1589,1380
"Census Tract 25.09, Sarasota County, Florida",Census Tract 25.09,25.09, Sarasota County,115, Florida,12,5855,2913,2942,99,456,564,180,93,165,668,1001,594,402,404,784,407,137,41,1262,4630,4593,4543,1591,1328,2242,2351,95.4,643,685,93.9,5855,5855,0,5690,68,8,0,0,0,0,54,0,0,0,0,29,0,25,0,0,0,0,0,35,0,0,0,0,5855,5690,68,8,54,0,35,5855,740,326,0,374,40,5115,4958,68,0,54,0,35,0,0,0,2959,4338,2107,2231
"Census Tract 25.10, Sarasota County, Florida",Census Tract 25.10,25.10, Sarasota County,115, Florida,12,3665,1887,1778,106.1,81,29,126,211,117,305,163,584,179,269,575,618,408,60.4,350,3414,3315,3218,1679,1601,1661,1654,100.4,800,801,99.9,3665,3597,68,3485,49,0,0,0,0,0,55,7,3,15,0,0,0,30,0,0,0,0,0,8,37,22,0,9,3665,3544,95,31,55,0,8,3665,102,42,0,16,44,3563,3391,49,0,55,0,0,68,0,68,2059,3252,1652,1600
"Census Tract 25.11, Sarasota County, Florida",Census Tract 25.11,25.11, Sarasota County,115, Florida,12,2764,1324,1440,91.9,39,30,47,105,142,65,167,296,126,233,733,534,247,67.5,199,2628,2565,2487,1679,1514,1192,1373,86.8,744,770,96.6,2764,2722,42,2708,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,42,0,0,2764,2750,0,46,0,0,10,2764,103,40,10,42,11,2661,2615,0,4,0,0,0,42,0,42,1663,2512,1170,1342
"Census Tract 26.01, Sarasota County, Florida",Census Tract 26.01,26.01, Sarasota County,115, Florida,12,2403,1105,1298,85.1,22,26,52,37,102,65,124,215,230,394,555,411,170,64.1,125,2303,2278,2245,1430,1136,1063,1215,87.5,488,648,75.3,2403,2356,47,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403,2403,0,0,0,0,47,2403,67,0,0,25,42,2336,2336,0,0,0,0,0,0,0,0,1796,2243,1054,1189
"Census Tract 26.02, Sarasota County, Florida",Census Tract 26.02,26.02, Sarasota County,115, Florida,12,2347,1129,1218,92.7,11,45,42,3,59,124,58,147,157,310,666,526,199,68.4,101,2249,2246,2246,1610,1391,1080,1166,92.6,647,744,87,2347,2296,51,2243,0,0,0,0,0,0,53,0,0,0,30,0,0,23,0,0,0,0,0,0,0,0,0,0,2347,2294,0,0,53,0,51,2347,160,32,0,9,119,2187,2134,0,0,53,0,0,0,0,0,1751,2193,1050,1143
"Census Tract 26.03, Sarasota County, Florida",Census Tract 26.03,26.03, Sarasota County,115, Florida,12,1886,932,954,97.7,13,48,70,40,54,77,149,146,162,250,479,239,159,63.9,157,1742,1729,1706,1012,877,831,898,92.5,480,397,120.9,1886,1875,11,1852,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,1886,1863,6,0,6,5,17,1886,21,0,15,6,0,1865,1831,6,0,0,0,17,11,0,11,1179,1708,828,880
"Census Tract 26.04, Sarasota County, Florida",Census Tract 26.04,26.04, Sarasota County,115, Florida,12,2898,1343,1555,86.4,15,41,72,30,13,137,125,151,111,207,830,799,367,71.4,158,2770,2740,2740,2157,1996,1217,1523,79.9,899,1097,82,2898,2769,129,2640,0,0,0,0,0,0,106,0,0,103,0,0,0,3,0,0,0,0,0,23,18,3,91,0,2898,2769,18,3,197,0,40,2898,32,0,14,9,9,2866,2631,0,0,106,0,0,129,17,112,2081,2593,1137,1456
"Census Tract 26.05, Sarasota County, Florida",Census Tract 26.05,26.05, Sarasota County,115, Florida,12,2203,1096,1107,99,75,66,33,32,56,128,120,192,132,260,516,558,35,65.2,190,2021,2013,1984,1269,1109,1028,985,104.4,626,483,129.6,2203,2185,18,2163,0,0,0,0,0,0,22,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,18,0,2203,2181,0,0,40,0,0,2203,9,9,0,0,0,2194,2154,0,0,22,0,0,18,0,18,1582,1909,989,920
"Census Tract 27.10, Sarasota County, Florida",Census Tract 27.10,27.10, Sarasota County,115, Florida,12,2474,1162,1312,88.6,128,88,78,35,78,117,218,265,93,86,499,600,189,66.8,300,2174,2174,2125,1334,1288,975,1199,81.3,564,724,77.9,2474,2366,108,2119,198,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29,0,108,0,0,2474,2227,198,127,1,0,29,2474,62,0,28,0,34,2412,2081,198,19,1,0,5,108,0,108,2030,2079,946,1133
"Census Tract 27.14, Sarasota County, Florida",Census Tract 27.14,27.14, Sarasota County,115, Florida,12,6655,3330,3325,100.2,99,181,372,398,240,264,421,641,367,796,1569,1110,197,62,845,5987,5810,5579,3332,2876,2817,2993,94.1,1402,1474,95.1,6655,6462,193,6234,37,0,0,0,0,0,174,0,94,19,0,61,0,0,0,0,0,0,0,17,27,106,42,0,6655,6427,64,106,216,0,35,6655,120,0,35,15,70,6535,6217,22,0,174,0,0,122,0,122,3161,5557,2660,2897
"Census Tract 27.16, Sarasota County, Florida",Census Tract 27.16,27.16, Sarasota County,115, Florida,12,6239,2932,3307,88.7,188,264,265,176,206,298,523,793,281,471,1485,957,332,61,782,5500,5457,5313,3071,2774,2549,2908,87.7,1340,1434,93.4,6239,6137,102,5848,63,0,0,0,0,0,77,18,0,0,0,18,0,41,0,0,0,0,0,149,18,0,0,0,6239,5950,81,0,77,20,213,6239,204,0,1,11,192,6035,5828,63,0,77,0,49,18,0,18,3893,5297,2501,2796
