FullName,CT,CTID,County,CountyID,State,StateID,TotalPop_Estimate,Male_Estimate,Female_Estimate,Male_SexRatio_Estimate,Under5_Estimate,5to9_Estimate,10to14_Estimate,15to19_Estimate,20to24_Estimate,25to34_Estimate,35to44_Estimate,45to54_Estimate,55to59_Estimate,60to64_Estimate,65to74_Estimate,75to84_Estimate,85andOver_Estimate,MedianAge_Estimate,Under18_Estimate,16andOver_Estimate,18andOver_Estimate,21andOver_Estimate,62andOver_Estimate,65andOver_Estimate,Male_18andOver_Estimate,Female_18andOver_Estimate,Male_18andOver_SexRatio_Estimate,Male_65andOver_Estimate,Female_65andOver_Estimate,Male_65andOver_SexRatio_Estimate,TotalRace_Estimate,OneRace_Estimate,TwoRace_Estimate,OneRace_White_Estimate,OneRace_BlackAA_Estimate,OneRace_AIAN_Estimate,OneRace_AIAN_Cherokee_Estimate,OneRace_AIAN_Chippewa_Estimate,OneRace_AIAN_Navajo_Estimate,OneRace_AIAN_Sioux_Estimate,OneRace_Asian_Estimate,OneRace_Asian_AsianIndian_Estimate,OneRace_Asian_Chinese_Estimate,OneRace_Asian_Filipino_Estimate,OneRace_Asian_Japanese_Estimate,OneRace_Asian_Korean_Estimate,OneRace_Asian_Vietnamese_Estimate,OneRace_Asian_Other_Estimate,OneRace_NHOPI_Estimate,OneRace_NHOPIN_NativeHawaiian_Estimate,OneRace_NHOPIG_Chamorro_Estimate,OneRace_NHOPI_Samoan_Estimate,OneRace_NHOPIOP_Other_Estimate,OneRace_SomeOtherRace_Estimate,TwoRace_White_BlackAA_Estimate,TwoRace_White_AIAN_Estimate,TwoRace_White_Asian_Estimate,TwoRace_BlackAA_AIAN_Estimate,AloneComboRace_Estimate,AloneComboRace_White_Estimate,AloneComboRace_BlackAA_Estimate,AloneComboRace_AIAN_Estimate,AloneComboRace_Asian_Estimate,AloneComboRace_NHOPI_Estimate,AloneComboRace_Other_Estimate,HispanicLatino_Estimate,HispanicLatino_AnyRace_Estimate,HispanicLatino_Mexican_AnyRace_Estimate,HispanicLatino_PuertoRican_AnyRace_Estimate,HispanicLatino_Cuban_AnyRace_Estimate,HispanicLatino_Other_AnyRace_Estimate,NotHispanicLatino_Estimate,NotHispanicLatino_White_Estimate,NotHispanicLatino_BlackAA_Estimate,NotHispanicLatino_AIAN_Estimate,NotHispanicLatino_Asian_Estimate,NotHispanicLatino_NHOPI_Estimate,NotHispanicLatino_AloneOther_Estimate,NotHispanicLatino_TwoMore_Estimate,NotHispanicLatino_TwoMore_IncludeOther_Estimate,NotHispanicLatino_TwoMore_ExcludeOtherThree_Estimate,HousingUnits_Estimate,Vote_18andOver_Estimate,Vote_Male_18andOver_Estimate,Vote_Female_18andOver_Estimate
"Census Tract 12.06, Sarasota County, Florida",Census Tract 12.06,12.06, Sarasota County,115, Florida,12,3388,1528,1860,82.2,110,18,50,157,384,433,385,441,238,453,442,224,53,48.7,265,3180,3123,2985,901,719,1451,1672,86.8,295,424,69.6,3388,3044,344,2749,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,292,11,41,0,3388,3093,376,11,41,0,211,3388,334,0,30,221,83,3054,2576,84,0,0,0,211,183,0,183,1462,2717,1239,1478
"Census Tract 13.01, Sarasota County, Florida",Census Tract 13.01,13.01, Sarasota County,115, Florida,12,3750,1872,1878,99.7,38,89,95,175,324,554,534,395,318,372,369,306,181,46.3,360,3462,3390,3293,1107,856,1669,1721,97,330,526,62.7,3750,3538,212,3346,9,0,0,0,0,0,169,32,77,0,0,0,60,0,0,0,0,0,0,14,5,5,15,0,3750,3558,14,10,184,0,201,3750,749,131,86,186,346,3001,2786,9,0,169,0,0,37,12,25,1709,2981,1425,1556
"Census Tract 13.02, Sarasota County, Florida",Census Tract 13.02,13.02, Sarasota County,115, Florida,12,4223,1717,2506,68.5,296,177,108,194,236,524,519,470,288,286,494,271,360,45.7,727,3566,3496,3413,1299,1125,1416,2080,68.1,339,786,43.1,4223,4160,63,3906,2,0,0,0,0,0,117,0,30,0,0,0,53,34,0,0,0,0,0,135,0,13,50,0,4223,3969,2,13,167,0,135,4223,814,522,60,143,89,3409,3234,2,0,115,0,37,21,0,21,1961,3356,1402,1954
"Census Tract 13.03, Sarasota County, Florida",Census Tract 13.03,13.03, Sarasota County,115, Florida,12,3286,1637,1649,99.3,133,180,170,220,118,245,304,504,321,174,330,267,320,51,606,2768,2680,2520,997,917,1261,1419,88.9,410,507,80.9,3286,3179,107,2992,0,4,4,0,0,0,143,0,18,14,0,0,102,9,0,0,0,0,0,40,13,0,25,0,3286,3099,23,4,178,0,99,3286,428,51,32,129,216,2858,2657,0,4,143,0,6,48,0,48,1509,2560,1209,1351
"Census Tract 13.04, Sarasota County, Florida",Census Tract 13.04,13.04, Sarasota County,115, Florida,12,2304,1091,1213,89.9,74,122,141,63,20,216,163,288,154,216,418,358,71,57.2,376,1959,1928,1904,993,847,894,1034,86.5,398,449,88.6,2304,2104,200,2083,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,7,0,2304,2283,0,9,7,0,205,2304,325,73,65,109,78,1979,1963,0,5,0,0,0,11,0,11,1162,1911,883,1028
"Census Tract 14.02, Sarasota County, Florida",Census Tract 14.02,14.02, Sarasota County,115, Florida,12,4832,2273,2559,88.8,466,264,162,330,213,802,655,592,320,289,579,121,39,37,1108,3853,3724,3528,929,739,1718,2006,85.6,349,390,89.5,4832,4767,65,4571,65,0,0,0,0,0,112,5,0,0,0,17,0,90,0,0,0,0,0,19,21,14,9,0,4832,4631,94,20,121,0,37,4832,373,98,198,29,48,4459,4230,65,0,112,0,0,52,5,47,1733,3482,1588,1894
"Census Tract 14.03, Sarasota County, Florida",Census Tract 14.03,14.03, Sarasota County,115, Florida,12,7079,3437,3642,94.4,87,249,313,530,393,82,636,855,514,560,1551,837,472,59.5,1023,6348,6056,5711,3215,2860,2840,3216,88.3,1437,1423,101,7079,6988,91,6852,19,0,0,0,0,0,99,0,32,0,0,0,11,56,0,0,0,0,0,18,21,35,23,0,7079,6931,40,47,134,0,18,7079,288,89,58,44,97,6791,6639,0,0,61,0,0,91,0,91,3708,5789,2679,3110
"Census Tract 14.04, Sarasota County, Florida",Census Tract 14.04,14.04, Sarasota County,115, Florida,12,5158,2682,2476,108.3,297,250,626,184,105,303,640,902,379,273,759,200,240,48,1260,3968,3898,3771,1396,1199,1956,1942,100.7,668,531,125.8,5158,5134,24,4883,12,0,0,0,0,0,239,86,9,0,10,17,117,0,0,0,0,0,0,0,0,0,0,0,5158,4907,12,0,239,0,24,5158,218,80,31,12,95,4940,4689,12,0,239,0,0,0,0,0,2696,3778,1883,1895
"Census Tract 14.05, Sarasota County, Florida",Census Tract 14.05,14.05, Sarasota County,115, Florida,12,3373,1804,1569,115,167,151,132,227,146,147,225,499,204,246,962,210,57,54.9,626,2841,2747,2675,1357,1229,1370,1377,99.5,700,529,132.3,3373,3361,12,3192,112,18,0,18,0,0,39,0,11,28,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3373,3204,112,30,39,0,0,3373,0,0,0,0,0,3373,3192,112,18,39,0,0,12,0,12,1540,2702,1358,1344
"Census Tract 15.03, Sarasota County, Florida",Census Tract 15.03,15.03, Sarasota County,115, Florida,12,3844,1968,1876,104.9,179,223,356,396,125,403,627,485,258,224,329,146,93,38.9,961,2983,2883,2637,727,568,1446,1437,100.6,336,232,144.8,3844,3718,126,3573,59,0,0,0,0,0,58,0,0,0,0,0,58,0,0,0,0,0,0,28,80,0,0,0,3844,3699,139,0,58,0,74,3844,627,155,47,241,184,3217,3015,42,0,58,0,0,102,22,80,1428,2446,1286,1160
"Census Tract 15.04, Sarasota County, Florida",Census Tract 15.04,15.04, Sarasota County,115, Florida,12,2831,1160,1671,69.4,75,145,283,243,151,217,458,450,151,140,385,117,16,41.6,658,2231,2173,2085,572,518,865,1308,66.1,135,383,35.2,2831,2774,57,2661,0,22,0,0,0,0,17,8,0,9,0,0,0,0,0,0,0,0,0,74,17,2,13,0,2831,2718,17,24,30,0,99,2831,453,50,94,232,77,2378,2251,0,22,17,0,31,57,25,32,1180,1968,801,1167
"Census Tract 15.05, Sarasota County, Florida",Census Tract 15.05,15.05, Sarasota County,115, Florida,12,4404,2064,2340,88.2,181,223,478,215,365,795,460,477,217,372,503,59,59,33.6,1023,3487,3381,3230,858,621,1528,1853,82.5,204,417,48.9,4404,4306,98,3660,482,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,157,36,49,13,0,4404,3758,518,49,20,0,157,4404,698,447,40,79,132,3706,3130,471,0,7,0,0,98,0,98,1648,3177,1444,1733
"Census Tract 15.08, Sarasota County, Florida",Census Tract 15.08,15.08, Sarasota County,115, Florida,12,2748,1424,1324,107.6,77,84,128,203,140,658,204,204,132,80,211,385,242,37.1,492,2308,2256,2238,861,838,1139,1117,102,372,466,79.8,2748,2748,0,2419,119,0,0,0,0,0,58,0,0,0,0,0,0,58,0,0,0,0,0,152,0,0,0,0,2748,2419,119,0,58,0,152,2748,563,277,51,18,217,2185,2097,30,0,58,0,0,0,0,0,1327,2171,1092,1079
"Census Tract 15.09, Sarasota County, Florida",Census Tract 15.09,15.09, Sarasota County,115, Florida,12,3345,1666,1679,99.2,267,138,138,141,135,97,541,495,392,270,409,258,64,51.3,684,2756,2661,2626,872,731,1315,1346,97.7,393,338,116.3,3345,3255,90,3066,0,0,0,0,0,0,133,14,0,0,20,0,61,38,0,0,0,0,0,56,70,0,20,0,3345,3156,70,0,153,0,56,3345,551,25,40,289,197,2794,2555,0,0,133,0,16,90,0,90,1545,2448,1191,1257
"Census Tract 15.10, Sarasota County, Florida",Census Tract 15.10,15.10, Sarasota County,115, Florida,12,4137,1700,2437,69.8,82,75,191,209,91,371,312,507,304,221,853,454,467,57,458,3745,3679,3560,1946,1774,1533,2146,71.4,633,1141,55.5,4137,4126,11,4009,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4137,4020,117,11,0,0,0,4137,195,11,126,0,58,3942,3825,117,0,0,0,0,0,0,0,2342,3443,1420,2023
"Census Tract 15.11, Sarasota County, Florida",Census Tract 15.11,15.11, Sarasota County,115, Florida,12,3064,1486,1578,94.2,40,291,239,57,121,264,185,499,93,388,334,204,349,53.8,585,2479,2479,2437,1106,887,1286,1193,107.8,442,445,99.3,3064,2802,262,2557,0,0,0,0,0,0,139,0,0,0,0,0,139,0,0,0,0,0,0,106,0,0,0,0,3064,2819,0,0,139,0,368,3064,644,194,0,34,416,2420,2281,0,0,139,0,0,0,0,0,1725,2327,1197,1130
"Census Tract 16.01, Sarasota County, Florida",Census Tract 16.01,16.01, Sarasota County,115, Florida,12,4144,2052,2092,98.1,220,107,99,139,236,457,373,435,475,207,500,591,305,55.1,547,3718,3597,3544,1522,1396,1746,1851,94.3,686,710,96.6,4144,4029,115,3838,14,4,0,0,0,0,105,7,0,14,0,0,84,0,0,0,0,0,0,68,0,14,0,0,4144,3940,27,25,105,0,169,4144,319,0,18,183,118,3825,3666,10,4,91,0,27,27,13,14,2044,3351,1682,1669
"Census Tract 16.02, Sarasota County, Florida",Census Tract 16.02,16.02, Sarasota County,115, Florida,12,3962,2021,1941,104.1,225,148,79,118,114,553,298,500,427,331,466,521,182,53.5,499,3479,3463,3388,1302,1169,1768,1695,104.3,604,565,106.9,3962,3654,308,3426,12,3,3,0,0,0,162,0,0,112,26,0,24,0,0,0,0,0,0,51,19,105,0,0,3962,3734,31,108,162,14,221,3962,554,219,57,33,245,3408,2975,12,3,162,0,0,256,118,138,2343,3301,1662,1639
